"Arquivo";"Tipo";"Secao";"Chave";"LinhaTribo";"LinhaDeepSeek";"Tribo";"DeepSeek";"IdiomaTribo";"IdiomaDeepSeek"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerMenuBase_Texts";"t_Q_LoadGameMainMenu";"344";"737";"""Você quer carregar esse jogo salvo? Seus salvamentos automáticos podem ser sobrescrevidos.""";"""Você deseja carregar este save? Seus autosaves podem ser sobrescritos.""";"PT";"PT"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerMenuBase_Texts";"t_Q_QuitGame";"348";"741";"""Você quer sair do jogo?""";"""Você deseja sair do jogo?""";"PT";"PT"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerMenuBase_Texts";"t_Q_RestoreSettings";"335";"728";"""Você quer reestabelecer as configurações da categoria atual (§CATEGORY§)?""";"""Você deseja restaurar as configurações da categoria atual (§CATEGORY§)?""";"Indeterminado";"Indeterminado"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerMenuBase_Texts";"t_Q_SaveGame";"345";"738";"""Você quer sobrescrever esse jogo salvo?""";"""Você quer sobrescrever este arquivo de salvamento?""";"Indeterminado";"PT"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerMenuBase_Texts";"t_Q_VideoSettings";"358";"751";"""As novas configurações foram aplicadas. Estão corretas?<br>(As configurações anteriores serão reestabelecidas no fim da contagem)""";"""Novas configurações foram aplicadas. Elas estão corretas?<br>(As configurações anteriores serão restauradas ao final da contagem regressiva)""";"PT";"PT"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerMenuBase_Texts";"t_RestoreSettings";"334";"727";"""Reestabelecer configurações""";"""Restaurar configurações""";"Indeterminado";"Indeterminado"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerMenuBase_Texts";"t_ResumeGame";"352";"745";"""Resumir""";"""Continuar""";"Indeterminado";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerMenuBase_Texts";"t_transitionFromDLC06Desc";"";"769";"";"""Um save de §DLC06_NAME§ foi encontrado. Você pode usar seu progresso em §DLC07_NAME§. Você recuperará seu equipamento e poderes.<br/>Qual progresso você deseja usar?""";"";"PT"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerMenuBase_Texts";"t_useDLC06Save_q";"";"771";"";"""Você escolheu usar o progresso §SAVE§ de §DLC06_NAME§ em §DLC07_NAME§. Continuar?""";"";"PT"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerMenuBase_Texts";"t_useNoDLC06Save_q";"";"772";"";"""Você escolheu não usar nenhuma progressão de §DLC06_NAME§ em §DLC07_NAME§. Continuar?""";"";"PT"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerMissionStats_Texts";"t_ReplayMission";"368";"776";"""Repetir Missão""";"""Reiniciar Missão""";"Indeterminado";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[0].m_MapTitle";"";"1260";"";"""Mystery Foe Challenge Map""";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[1].m_Legend[0]";"";"1262";"";"(m_Description=""You are here"")";"";"EN"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[1].m_Legend[1]";"";"1263";"";"(m_Description=""Loading Dock"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[1].m_Legend[2]";"";"1264";"";"(m_Description=""Main Entrance"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[1].m_Legend[3]";"";"1265";"";"(m_Description=""Break Room"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[1].m_Legend[4]";"";"1266";"";"(m_Description=""Boat Storage"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[1].m_Legend[5]";"";"1267";"";"(m_Description=""Sewer Flow Control"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[1].m_MapTitle";"";"1261";"";"""Slaughterhouse Exterior""";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[2].m_Legend[0]";"";"1269";"";"(m_Description=""You are here"")";"";"EN"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[2].m_Legend[1]";"";"1270";"";"(m_Description=""Shipping"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[2].m_Legend[2]";"";"1271";"";"(m_Description=""Meat Locker"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[2].m_Legend[3]";"";"1272";"";"(m_Description=""Killing Floor"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[2].m_Legend[4]";"";"1273";"";"(m_Description=""Refinery"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[2].m_Legend[5]";"";"1274";"";"(m_Description=""Whale Harvesting"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[2].m_Legend[6]";"";"1275";"";"(m_Description=""Laborer Washroom"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[2].m_Legend[7]";"";"1276";"";"(m_Description=""Canteen"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[2].m_Legend[8]";"";"1277";"";"(m_Description=""Accounting"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[2].m_Legend[9]";"";"1278";"";"(m_Description=""Management Office"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[2].m_MapTitle";"";"1268";"";"""Slaughterhouse Interior""";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[3].m_Legend[0]";"";"1280";"";"(m_Description=""You are here"")";"";"EN"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[3].m_Legend[1]";"";"1281";"";"(m_Description=""Shipping"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[3].m_Legend[2]";"";"1282";"";"(m_Description=""Meat Locker"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[3].m_Legend[3]";"";"1283";"";"(m_Description=""Killing Floor"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[3].m_Legend[4]";"";"1284";"";"(m_Description=""Refinery"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[3].m_Legend[5]";"";"1285";"";"(m_Description=""Whale Harvesting"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[3].m_Legend[6]";"";"1286";"";"(m_Description=""Laborer Washroom"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[3].m_Legend[7]";"";"1287";"";"(m_Description=""Canteen"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[3].m_Legend[8]";"";"1288";"";"(m_Description=""Accounting"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[3].m_Legend[9]";"";"1289";"";"(m_Description=""Management Office"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[3].m_MapTitle";"";"1279";"";"""Slaughterhouse Interior""";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[4].m_Legend[0]";"";"1291";"";"(m_Description=""You are here"")";"";"EN"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[4].m_Legend[1]";"";"1292";"";"(m_Description=""Shipping"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[4].m_Legend[2]";"";"1293";"";"(m_Description=""Meat Locker"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[4].m_Legend[3]";"";"1294";"";"(m_Description=""Killing Floor"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[4].m_Legend[4]";"";"1295";"";"(m_Description=""Refinery"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[4].m_Legend[5]";"";"1296";"";"(m_Description=""Whale Harvesting"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[4].m_Legend[6]";"";"1297";"";"(m_Description=""Laborer Washroom"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[4].m_Legend[7]";"";"1298";"";"(m_Description=""Canteen"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[4].m_Legend[8]";"";"1299";"";"(m_Description=""Accounting"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[4].m_Legend[9]";"";"1300";"";"(m_Description=""Management Office"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[4].m_MapTitle";"";"1290";"";"""Slaughterhouse Interior""";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[5].m_Legend[0]";"";"1302";"";"(m_Description=""You are here"")";"";"EN"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[5].m_Legend[1]";"";"1303";"";"(m_Description=""Shipping"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[5].m_Legend[2]";"";"1304";"";"(m_Description=""Meat Locker"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[5].m_Legend[3]";"";"1305";"";"(m_Description=""Killing Floor"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[5].m_Legend[4]";"";"1306";"";"(m_Description=""Refinery"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[5].m_Legend[5]";"";"1307";"";"(m_Description=""Whale Harvesting"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[5].m_Legend[6]";"";"1308";"";"(m_Description=""Laborer Washroom"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[5].m_Legend[7]";"";"1309";"";"(m_Description=""Canteen"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[5].m_Legend[8]";"";"1310";"";"(m_Description=""Accounting"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[5].m_Legend[9]";"";"1311";"";"(m_Description=""Management Office"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[5].m_MapTitle";"";"1301";"";"""Slaughterhouse Interior""";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[6].m_Legend[0]";"";"1313";"";"(m_Description=""You are here"")";"";"EN"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[6].m_Legend[1]";"";"1314";"";"(m_Description=""Timsh Estate and Law Offices"")";"";"EN"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[6].m_Legend[2]";"";"1315";"";"(m_Description=""Apartment 7"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[6].m_Legend[3]";"";"1316";"";"(m_Description=""Apartment 10"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[6].m_Legend[4]";"";"1317";"";"(m_Description=""Watch Office"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[6].m_Legend[5]";"";"1318";"";"(m_Description=""Hatter Gang Territory"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[6].m_Legend[6]";"";"1319";"";"(m_Description=""Docks"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[6].m_Legend[7]";"";"1320";"";"(m_Description=""Sewer Access"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[6].m_Legend[8]";"";"1321";"";"(m_Description=""Treaver's Close"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[6].m_Legend[9]";"";"1322";"";"(m_Description=""Whaler Outpost"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[6].m_MapTitle";"";"1312";"";"""Estate District""";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[7].m_Legend[0]";"";"1324";"";"(m_Description=""Law Offices"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[7].m_Legend[1]";"";"1325";"";"(m_Description=""Reception"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[7].m_Legend[10]";"";"1334";"";"(m_Description=""Dining"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[7].m_Legend[11]";"";"1335";"";"(m_Description=""Private Chambers"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[7].m_Legend[2]";"";"1326";"";"(m_Description=""Office of Barrister Timsh"")";"";"EN"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[7].m_Legend[3]";"";"1327";"";"(m_Description=""Timsh Apartment"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[7].m_Legend[4]";"";"1328";"";"(m_Description=""Lobby"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[7].m_Legend[5]";"";"1329";"";"(m_Description=""Restrooms"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[7].m_Legend[6]";"";"1330";"";"(m_Description=""Storage"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[7].m_Legend[7]";"";"1331";"";"(m_Description=""Smoking Lounge"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[7].m_Legend[8]";"";"1332";"";"(m_Description=""Library"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[7].m_Legend[9]";"";"1333";"";"(m_Description=""Barrister's Desk"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[7].m_MapTitle";"";"1323";"";"""Timsh Estate""";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[8].m_Legend[0]";"";"1337";"";"(m_Description=""Commerce Building"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[8].m_Legend[1]";"";"1338";"";"(m_Description=""Greaves Oil Refinery"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[8].m_Legend[2]";"";"1339";"";"(m_Description=""Rudshore Gate"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[8].m_Legend[3]";"";"1340";"";"(m_Description=""Suspected Occultist Lair"")";"";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote";"m_DLCMaps[8].m_MapTitle";"";"1336";"";"""Overseer Assault Plan""";"";"Indeterminado"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerNote_Texts";"t_Legend";"508";"949";"""Legenda""";"""Lenda""";"Indeterminado";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote_Texts";"t_tuto_arcMine_0";"";"1067";"";"""Coloque esta mina em quase qualquer lugar. Quando ativada, ela libera uma poderosa carga elétrica, reduzindo o alvo a cinzas.""";"";"PT/Misto"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote_Texts";"t_tuto_arcMine_title";"";"1066";"";"""Mina de Arco""";"";"PT"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote_Texts";"t_tuto_arcMineStun_0";"";"1070";"";"""Coloque esta mina em quase qualquer lugar. Quando acionada, ela liberará um choque elétrico, deixando o alvo inconsciente.""";"";"PT"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote_Texts";"t_tuto_arcMineStun_title";"";"1069";"";"""Mina Atordoante""";"";"Indeterminado"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerNote_Texts";"t_tuto_assassination_0";"519";"960";"""Com uma espada na mão, assassine um inimigo desprevinido pressionando `GBA_Primary` ou aproxime-se de um inimigo desprevinido pelas costas e segure `GBA_Block` para realizar uma eliminação não-letal.""";"""Com uma espada em mãos, assassine um inimigo desprevenido pressionando `GBA_Primary` ou aproxime-se de um inimigo desprevenido por trás e segure `GBA_Block` para realizar uma neutralização não letal.""";"PT";"PT"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerNote_Texts";"t_tuto_assassination_1";"520";"961";"""O uso do sigilo e das táticas não-letais tem as suas vantagens: Menos ratos e Lamentosos, algumas pessoas reagem favoravelmente e o resultado final não é tão escuro.""";"""Usar furtividade e a abordagem não letal traz benefícios: menos ratos e chorões, algumas pessoas reagem favoravelmente e o desfecho final não é tão sombrio.""";"PT/Misto";"EN"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerNote_Texts";"t_tuto_assassination_title";"518";"959";"""Assassinatos e Eliminações Não-Letais""";"""Assassinatos e Neutralizações Não Letais""";"Indeterminado";"Indeterminado"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerNote_Texts";"t_tuto_block_0";"531";"972";"""Pressione e segure `GBA_Block` para bloquear ataques com espada. Se conseguir bloquear no momento certo, desequilibrará o inimigo e o deixará aberto à um contra-ataque letal.""";"""Pressione e segure `GBA_Block` para bloquear ataques de espada. O timing perfeito desequilibrará os inimigos e os deixará vulneráveis a um contra-ataque letal.""";"PT";"PT/Misto"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerNote_Texts";"t_tuto_block_title";"530";"971";"""Bloquear""";"""Bloqueio""";"Indeterminado";"Indeterminado"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerNote_Texts";"t_tuto_bluePrint_0";"537";"978";"""Colete Plantas para desbloquear novas melhorias e equipamentos na oficina de Piero no Bar Cova do Cão.""";"""Colete Projetos para desbloquer novos aprimoramentos e equipamentos na oficina de Piero no Pub Pouso do Cão.""";"PT";"PT"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote_Texts";"t_tuto_bluePrint_DLC06_0";"";"1091";"";"""Colete Projetos para desbloquear novas melhorias e equipamentos no início da próxima missão.""";"";"PT"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote_Texts";"t_tuto_bluePrint_DLC06_title";"";"1090";"";"""Projetos""";"";"Indeterminado"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerNote_Texts";"t_tuto_bluePrint_title";"536";"977";"""Plantas""";"""Projetos""";"Indeterminado";"Indeterminado"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerNote_Texts";"t_tuto_boneCharms_0";"540";"981";"""Os Encantos de Ossos proporcionam pequenas vantagens sobrenaturais. Para localizá-los, ouça a ""música"" que eles emitem. Por padrão, você pode ativar até 3 Encantos de Ossos de uma vez na sessão de Encantos de Ossos do Diário.""";"""Amuletos Ósseos concedem pequenos benefícios sobrenaturais. Localize-os ouvindo a ""canção"" que emitem. Por padrão, você pode ativar até 3 Amuletos Ósseos simultaneamente na seção de Amuletos Ósseos do Diário.""";"PT/Misto";"PT/Misto"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerNote_Texts";"t_tuto_boneCharms_title";"539";"980";"""Encantos de Ossos""";"""Amuletos de Ossos""";"PT";"PT"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerNote_Texts";"t_tuto_chaos_0";"543";"984";"""Seus atos afetam a cidade. Um grande número de mortes resulta em mais ratos e Lamentosos, diferentes reações dos seus aliados e um final mais escuro.""";"""Suas ações afetam a cidade. Um alto número de mortes resulta em mais ratos e chorões, reações diferentes de seus aliados e desfechos finais mais sombrios.""";"PT/Misto";"PT/Misto"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote_Texts";"t_tuto_chokeDust_0";"";"1064";"";"""Este poderoso irritante pode ser arremessado, criando uma nuvem nociva. Inimigos afetados ficarão temporariamente cegos e incapacitados.""";"";"PT"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote_Texts";"t_tuto_chokeDust_title";"";"1063";"";"""Poeira Sufocante""";"";"Indeterminado"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerNote_Texts";"t_tuto_combat_0";"528";"969";"""Pressione `GBA_Primary` para atacar com a sua mão direita ou `GBA_Secondary` para atacar com a sua mão esquerda se estiver equipado com uma arma ou poder.""";"""Pressione `GBA_Primary` para atacar com a mão direita, ou `GBA_Secondary` para atacar com a mão esquerda se você tiver uma arma ou poder equipado.""";"PT/Misto";"PT/Misto"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerNote_Texts";"t_tuto_counterAttack_0";"546";"987";"""Voce desequilibrou o seu inimigo bloqueando no momento certo. Agora, pressione `GBA_Primary` para executar um contra-ataque letal.""";"""Você acabou de desequilibrar seu inimigo ao bloquear com o timing perfeito. Agora, pressione `GBA_Primary` para executar um contra-ataque letal.""";"PT";"PT"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerNote_Texts";"t_tuto_counterAttack_title";"545";"986";"""Contra-Atacar""";"""Contra-ataque""";"Indeterminado";"Indeterminado"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote_Texts";"t_tuto_crackedCharms_0";"";"1097";"";"""Talismãs Ósseos Corrompidos são poderosos, mas vêm com um custo. Localize-os, como talismãs normais, ouvindo a ""canção"" que emitem ou usando o poder §C_BLUE§Olhar do Vazio§C§. Equipe-os na aba §C_BLUE§Talismãs Ósseos§C§ do Diário.""";"";"PT/Misto"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote_Texts";"t_tuto_crackedCharms_title";"";"1096";"";"""Amuletos Ósseos Corrompidos""";"";"Indeterminado"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerNote_Texts";"t_tuto_dropAssassination_0";"581";"1022";"""Salte de um lugar alto sobre um inimigo e pressione `GBA_Primary` antes de cair sobre ele para executar um assassinato em uma queda. Você não sofrerá danos pela queda.""";"""Pule sobre um inimigo de cima e pressione `GBA_Primary` pouco antes de pousar sobre ele para realizar um assassinato em queda. Você não sofrerá nenhum dano da queda.""";"PT";"PT"
"DishonoredGame.int";"Ambos preenchidos / traduÃ§Ã£o diferente";"DisGFxMoviePlayerNote_Texts";"t_tuto_dropAssassination_title";"580";"1021";"""Assassinato em uma Queda""";"""Eliminação por Queda""";"PT";"PT"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote_Texts";"t_tuto_favors_0";"";"1073";"";"""Como Daud, você pode usar sua rede de espiões e mercadores corruptos para comprar equipamentos e melhorias antes de cada missão.<br><br>Você também pode pagar por Favores especiais. Esses Favores podem ter uma variedade de efeitos na missão, como conceder acesso a esconderijos de equipamentos ou revelar informações secretas.""";"";"PT/Misto"
"DishonoredGame.int";"Somente DeepSeek";"DisGFxMoviePlayerNote_Texts";"t_tuto_favors_title";"";"1072";"";"""Favores""";"";"Indeterminado"
