"Arquivo";"StatusArquivo";"ChavesTribo";"ChavesDeepSeek";"Iguais";"Diferentes";"SomenteTribo";"SomenteDeepSeek";"TriboPreenchidoDeepVazio";"TriboVazioDeepPreenchido";"AmbosPreenchidosDiferentes";"PT_Tribo_Heuristico";"PT_DeepSeek_Heuristico";"EN_Tribo_Heuristico";"EN_DeepSeek_Heuristico"
"doors_twk.int";"Diferen̤as para reviṣo";"626";"626";"525";"101";"0";"0";"0";"0";"101";"41";"5";"0";"0"
"DropAttack_Script_MS.int";"Diferen̤as para reviṣo";"11";"11";"6";"5";"0";"0";"0";"0";"5";"0";"4";"2";"0"
"E3_Tweaks.int";"Diferen̤as para reviṣo";"8";"8";"5";"3";"0";"0";"0";"0";"3";"1";"0";"0";"0"
"ExampleGame.int";"Id̻ntico";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Flooded_AbstractInv_MS.int";"Diferen̤as para reviṣo";"93";"93";"52";"41";"0";"0";"0";"0";"41";"62";"51";"0";"1"
"Flooded_Objectives.int";"Diferen̤as para reviṣo";"40";"40";"19";"21";"0";"0";"0";"0";"21";"15";"16";"1";"0"
"Flooded_Tweaks.int";"Diferen̤as para reviṣo";"96";"96";"69";"27";"0";"0";"0";"0";"27";"21";"9";"0";"0"
"Flooded_Twk.int";"Diferen̤as para reviṣo";"224";"224";"184";"40";"0";"0";"0";"0";"40";"28";"23";"0";"1"
"Galvani_MS.int";"Diferen̤as para reviṣo";"6";"6";"5";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"GFxUI.int";"DeepSeek possui chaves adicionais";"4";"6";"4";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"Hub_AbstInv.int";"Diferen̤as para reviṣo";"36";"36";"15";"21";"0";"0";"0";"0";"21";"23";"23";"0";"0"
"Hub_AbstractInv_MS.int";"Diferen̤as para reviṣo";"6";"6";"2";"4";"0";"0";"0";"0";"4";"4";"4";"0";"0"
"Hub_FX.int";"Diferen̤as para reviṣo";"6";"6";"4";"2";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Hub_MS.int";"Diferen̤as para reviṣo";"26";"26";"23";"3";"0";"0";"0";"0";"3";"2";"1";"0";"0"
"Hub_Twk.int";"Diferen̤as para reviṣo";"130";"130";"109";"21";"0";"0";"0";"0";"21";"11";"9";"0";"0"
"izerraf_LocTest.int";"Id̻ntico";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"jlake_Objectives.int";"Diferen̤as para reviṣo";"5";"5";"0";"5";"0";"0";"0";"0";"5";"3";"3";"0";"0"
"L_ArtDealer_Audio.int";"Id̻ntico";"8";"8";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_ArtDealer_Scripts.int";"Diferen̤as para reviṣo";"19";"19";"6";"13";"0";"0";"0";"0";"13";"11";"2";"0";"4"
"L_Boyle_Ext_Audio.int";"Diferen̤as para reviṣo";"20";"20";"16";"4";"0";"0";"0";"0";"4";"4";"0";"0";"0"
"L_Boyle_Ext_P.int";"Diferen̤as para reviṣo";"25";"25";"6";"19";"0";"0";"0";"0";"19";"15";"7";"0";"8"
"L_Boyle_Ext_Script.int";"Diferen̤as para reviṣo";"14";"14";"2";"12";"0";"0";"0";"0";"12";"8";"6";"0";"2"
"L_Boyle_Int_Audio.int";"Diferen̤as para reviṣo";"41";"41";"36";"5";"0";"0";"0";"0";"5";"4";"0";"0";"0"
"L_Boyle_Int_P.int";"Diferen̤as para reviṣo";"12";"12";"4";"8";"0";"0";"0";"0";"8";"8";"0";"0";"8"
"L_Boyle_Int_Script.int";"Diferen̤as para reviṣo";"44";"44";"19";"25";"0";"0";"0";"0";"25";"18";"16";"0";"1"
"L_BoyleStreet_Ext_Script.int";"Diferen̤as para reviṣo";"18";"18";"3";"15";"0";"0";"0";"0";"15";"10";"10";"0";"1"
"L_Bridge_Part1a_Audio.int";"Diferen̤as para reviṣo";"9";"9";"8";"1";"0";"0";"0";"0";"1";"2";"1";"0";"0"
"L_Bridge_Part1a_Script.int";"Diferen̤as para reviṣo";"13";"13";"8";"5";"0";"0";"0";"0";"5";"8";"7";"0";"1"
"L_Bridge_Part1b_Audio.int";"Diferen̤as para reviṣo";"20";"20";"17";"3";"0";"0";"0";"0";"3";"4";"2";"0";"0"
"L_Bridge_Part1b_Script.int";"Diferen̤as para reviṣo";"30";"30";"12";"18";"0";"0";"0";"0";"18";"17";"13";"0";"2"
"L_Bridge_Part1c_Audio.int";"Id̻ntico";"4";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_Bridge_Part1c_Script.int";"Diferen̤as para reviṣo";"14";"14";"8";"6";"0";"0";"0";"0";"6";"8";"4";"0";"2"
"L_Bridge_Part2_Audio.int";"Id̻ntico";"20";"20";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_Bridge_Part2_Script.int";"Diferen̤as para reviṣo";"32";"32";"20";"12";"0";"0";"0";"0";"12";"12";"9";"0";"2"
"L_Brothel_Audio.int";"Diferen̤as para reviṣo";"56";"56";"52";"4";"0";"0";"0";"0";"4";"4";"0";"0";"0"
"L_Brothel_Script.int";"Diferen̤as para reviṣo";"46";"46";"17";"29";"0";"0";"0";"0";"29";"28";"25";"0";"6"
"L_Distillery_Audio.int";"Diferen̤as para reviṣo";"9";"9";"8";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"L_Distillery_Loot.int";"Diferen̤as para reviṣo";"16";"16";"10";"6";"0";"0";"0";"0";"6";"2";"2";"0";"0"
"L_Distillery_Strt1Script.int";"Diferen̤as para reviṣo";"22";"22";"13";"9";"0";"0";"0";"0";"9";"12";"9";"0";"1"
"L_Distillery2_Audio.int";"Diferen̤as para reviṣo";"9";"9";"8";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"L_Distillery2_P.int";"Diferen̤as para reviṣo";"2";"2";"0";"2";"0";"0";"0";"0";"2";"2";"2";"0";"0"
"L_Distillery2_Script.int";"Diferen̤as para reviṣo";"20";"20";"8";"12";"0";"0";"0";"0";"12";"10";"7";"0";"1"
"L_DLC05_Arena_P.INT";"Diferen̤as para reviṣo";"11";"11";"7";"4";"0";"0";"0";"0";"4";"0";"4";"4";"0"
"L_DLC05_Arena_Script.INT";"Diferen̤as para reviṣo";"8";"8";"3";"5";"0";"0";"0";"0";"5";"0";"1";"2";"1"
"L_DLC05_ATrain_P.INT";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0"
"L_DLC05_ATrain_Script.INT";"Diferen̤as para reviṣo";"9";"9";"6";"3";"0";"0";"0";"0";"3";"0";"2";"3";"1"
"L_DLC05_BTM_P.INT";"Diferen̤as para reviṣo";"12";"12";"6";"6";"0";"0";"0";"0";"6";"0";"3";"4";"1"
"L_DLC05_BTM_Script_01.INT";"Diferen̤as para reviṣo";"23";"23";"6";"17";"0";"0";"0";"0";"17";"0";"10";"7";"0"
"L_DLC05_BTM_Script_02.INT";"Diferen̤as para reviṣo";"27";"27";"10";"17";"0";"0";"0";"0";"17";"0";"7";"4";"0"
"L_DLC05_BTM_Script_03.INT";"Diferen̤as para reviṣo";"29";"29";"10";"19";"0";"0";"0";"0";"19";"0";"7";"4";"0"
"L_DLC05_BTM_Script_04.INT";"Diferen̤as para reviṣo";"31";"31";"15";"16";"0";"0";"0";"0";"16";"0";"6";"6";"0"
"L_DLC05_BTM_Script_05.INT";"Diferen̤as para reviṣo";"34";"34";"13";"21";"0";"0";"0";"0";"21";"0";"6";"5";"0"
"L_DLC05_BTM_Script_06.INT";"Diferen̤as para reviṣo";"30";"30";"14";"16";"0";"0";"0";"0";"16";"0";"8";"6";"0"
"L_DLC05_ChainKill_P.INT";"Diferen̤as para reviṣo";"10";"10";"5";"5";"0";"0";"0";"0";"5";"0";"4";"5";"0"
"L_DLC05_ChainKill_Phase_01.INT";"Diferen̤as para reviṣo";"15";"15";"7";"8";"0";"0";"0";"0";"8";"0";"5";"3";"0"
"L_DLC05_ChainKill_Phase_02.INT";"Diferen̤as para reviṣo";"16";"16";"9";"7";"0";"0";"0";"0";"7";"0";"2";"1";"1"
"L_DLC05_ChainKill_Phase_03.INT";"Diferen̤as para reviṣo";"20";"20";"13";"7";"0";"0";"0";"0";"7";"0";"4";"1";"0"
"L_DLC05_ChainKill_Phase_04.INT";"Diferen̤as para reviṣo";"25";"25";"18";"7";"0";"0";"0";"0";"7";"0";"3";"1";"0"
"L_DLC05_ChainKill_Phase_05.INT";"Diferen̤as para reviṣo";"32";"32";"24";"8";"0";"0";"0";"0";"8";"0";"4";"0";"0"
"L_DLC05_ChainKill_Phase_06.INT";"Diferen̤as para reviṣo";"28";"28";"27";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"L_DLC05_ChainKill_Script.INT";"Diferen̤as para reviṣo";"12";"12";"0";"12";"0";"0";"0";"0";"12";"0";"0";"0";"0"
"L_DLC05_Cntdwn_Script.INT";"Diferen̤as para reviṣo";"26";"26";"11";"15";"0";"0";"0";"0";"15";"0";"6";"8";"2"
"L_DLC05_Countdown_P.INT";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0"
"L_DLC05_DropAttack_P.INT";"Diferen̤as para reviṣo";"8";"8";"4";"4";"0";"0";"0";"0";"4";"0";"3";"1";"0"
"L_DLC05_DrpAtt_Env.INT";"Id̻ntico";"3";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_DLC05_DrpAtt_Script.INT";"Id̻ntico";"3";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"L_DLC05_MysteryMan_P.INT";"Id̻ntico";"6";"6";"6";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"L_DLC05_MystMan_Audio.INT";"Id̻ntico";"14";"14";"14";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_DLC05_MystMan_Env.INT";"Id̻ntico";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_DLC05_MystMan_Script.INT";"Diferen̤as para reviṣo";"55";"55";"13";"42";"0";"0";"0";"0";"42";"0";"13";"21";"1"
"L_DLC05_OilRain_Script.INT";"Diferen̤as para reviṣo";"22";"22";"11";"11";"0";"0";"0";"0";"11";"0";"4";"8";"1"
"L_DLC05_Race_Script.INT";"Diferen̤as para reviṣo";"24";"24";"16";"8";"0";"0";"0";"0";"8";"0";"4";"8";"2"
"L_DLC05_Thief_Audio.INT";"Id̻ntico";"24";"24";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_DLC05_Thief_P.INT";"Diferen̤as para reviṣo";"5";"5";"3";"2";"0";"0";"0";"0";"2";"0";"0";"2";"1"
"L_DLC05_Thief_Script.INT";"Diferen̤as para reviṣo";"69";"69";"15";"54";"0";"0";"0";"0";"54";"0";"27";"12";"0"
"L_DLC07_BaseIntro_Audio.INT";"Id̻ntico";"4";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_DLC07_BaseIntro_Script.INT";"Diferen̤as para reviṣo";"16";"16";"12";"4";"0";"0";"0";"0";"4";"0";"0";"2";"2"
"L_DLC07_Brig_Ext_Audio.INT";"Id̻ntico";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_DLC07_Brig_Ext_P.INT";"Id̻ntico";"3";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_DLC07_Brig_Ext_Script.INT";"Diferen̤as para reviṣo";"28";"28";"10";"18";"0";"0";"0";"0";"18";"0";"11";"6";"5"
"L_DLC07_Brig_ScriptNew.INT";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"L_DLC07_Brigmore_Int_Audio.INT";"Id̻ntico";"4";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_DLC07_Brigmore_Int_Script.INT";"Diferen̤as para reviṣo";"29";"29";"15";"14";"0";"0";"0";"0";"14";"0";"5";"8";"7"
"L_DLC07_Brigmore_Void_Script.INT";"Diferen̤as para reviṣo";"17";"17";"8";"9";"0";"0";"0";"0";"9";"0";"5";"2";"0"
"L_DLC07_Coldridge_Audio.INT";"Id̻ntico";"9";"9";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_DLC07_Coldridge_Script.INT";"Diferen̤as para reviṣo";"107";"107";"13";"94";"0";"0";"0";"0";"94";"1";"15";"69";"4"
"L_DLC07_DraperMill_Audio.INT";"Id̻ntico";"4";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_DLC07_DraperMill_P.INT";"Id̻ntico";"9";"9";"9";"0";"0";"0";"0";"0";"0";"0";"0";"6";"6"
"L_DLC07_DraperMill_Script.INT";"Diferen̤as para reviṣo";"65";"65";"19";"46";"0";"0";"0";"0";"46";"0";"31";"20";"3"
"L_DLC07_DraperSewer_Audio.INT";"Id̻ntico";"3";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_DLC07_DraperSewer_Script.INT";"Diferen̤as para reviṣo";"10";"10";"6";"4";"0";"0";"0";"0";"4";"0";"3";"1";"1"
"L_DLC07_DraperSewers_P.INT";"Diferen̤as para reviṣo";"12";"12";"6";"6";"0";"0";"0";"0";"6";"0";"2";"4";"4"
"L_DLC07_DraperShip_Loot.INT";"Diferen̤as para reviṣo";"2";"2";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"L_DLC07_DraperShip_P.INT";"Id̻ntico";"9";"9";"9";"0";"0";"0";"0";"0";"0";"0";"0";"6";"6"
"L_DLC07_DraperShip_Script.INT";"Diferen̤as para reviṣo";"26";"26";"8";"18";"0";"0";"0";"0";"18";"0";"9";"7";"1"
"L_DLC07_DraperStreets_Audio.INT";"Id̻ntico";"3";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_DLC07_DraperStreets_Loot.INT";"Diferen̤as para reviṣo";"5";"5";"0";"5";"0";"0";"0";"0";"5";"0";"4";"0";"0"
"L_DLC07_DraperStreets_P.INT";"Id̻ntico";"9";"9";"9";"0";"0";"0";"0";"0";"0";"0";"0";"4";"4"
"L_DLC07_DraperStreets_Script.INT";"Diferen̤as para reviṣo";"44";"44";"9";"35";"0";"0";"0";"0";"35";"0";"30";"2";"0"
"L_DLC07_Endgame_Script.INT";"Id̻ntico";"3";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_Flooded_FAssassins_Audio.int";"Diferen̤as para reviṣo";"9";"9";"8";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"L_Flooded_FAssassins_P.int";"Diferen̤as para reviṣo";"6";"6";"2";"4";"0";"0";"0";"0";"4";"4";"0";"0";"4"
"L_Flooded_FAssassins_Script.int";"Diferen̤as para reviṣo";"20";"20";"13";"7";"0";"0";"0";"0";"7";"8";"7";"0";"0"
"L_Flooded_FGate_Audio.int";"Diferen̤as para reviṣo";"38";"38";"32";"6";"0";"0";"0";"0";"6";"6";"0";"0";"0"
"L_Flooded_FGate_P.int";"Diferen̤as para reviṣo";"7";"7";"2";"5";"0";"0";"0";"0";"5";"5";"1";"0";"3"
"L_Flooded_FGate_Script.int";"Diferen̤as para reviṣo";"28";"28";"13";"15";"0";"0";"0";"0";"15";"9";"10";"1";"1"
"L_Flooded_FRefinery_Audio.int";"Id̻ntico";"4";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_Flooded_FRefinery_Intro.int";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"L_Flooded_FRefinery_P.int";"Diferen̤as para reviṣo";"6";"6";"2";"4";"0";"0";"0";"0";"4";"4";"0";"0";"4"
"L_Flooded_FRefinery_Script.int";"Diferen̤as para reviṣo";"9";"9";"2";"7";"0";"0";"0";"0";"7";"1";"1";"0";"0"
"L_Flooded_FStreets_P.int";"Diferen̤as para reviṣo";"9";"9";"3";"6";"0";"0";"0";"0";"6";"3";"0";"0";"6"
"L_Flooded_FStreets_Script.int";"Diferen̤as para reviṣo";"7";"7";"1";"6";"0";"0";"0";"0";"6";"3";"3";"0";"0"
"L_Galvani1_Audio.int";"Diferen̤as para reviṣo";"35";"35";"32";"3";"0";"0";"0";"0";"3";"3";"0";"0";"0"
"L_Galvani1_Scripts.int";"Diferen̤as para reviṣo";"14";"14";"6";"8";"0";"0";"0";"0";"8";"10";"4";"0";"6"
"L_Galvani1_Strt1_Scripts.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0"
"L_Galvani1_Strt2_Scripts.int";"Diferen̤as para reviṣo";"5";"5";"3";"2";"0";"0";"0";"0";"2";"2";"2";"0";"0"
"L_Isl_Audio_Master.int";"Diferen̤as para reviṣo";"5";"5";"4";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"L_Isl_Audio_Slave.int";"Diferen̤as para reviṣo";"5";"5";"4";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"L_Isl_Common_Master.int";"Diferen̤as para reviṣo";"49";"49";"38";"11";"0";"0";"0";"0";"11";"11";"0";"0";"0"
"L_Isl_Common_Slave.int";"Diferen̤as para reviṣo";"49";"49";"38";"11";"0";"0";"0";"0";"11";"11";"0";"0";"0"
"L_Isl_Geom_Master.int";"Id̻ntico";"8";"8";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_Isl_Geom_Slave.int";"Id̻ntico";"8";"8";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_Isl_HighChaos_Script.int";"Id̻ntico";"5";"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_Isl_LowChaos_Script.int";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"L_Isl_Script_Master.int";"Diferen̤as para reviṣo";"27";"27";"12";"15";"0";"0";"0";"0";"15";"14";"8";"0";"1"
"L_Isl_Script_Slave.int";"Diferen̤as para reviṣo";"27";"27";"12";"15";"0";"0";"0";"0";"15";"14";"9";"0";"1"
"L_LightH_Audio_Master.int";"Id̻ntico";"4";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_LightH_Audio_Slave.int";"Id̻ntico";"4";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_LightH_HighChaos_Script.int";"Diferen̤as para reviṣo";"10";"10";"9";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"L_LightH_LowChaos_Script.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"2";"1";"0";"0"
"L_LightH_Script_Master.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"1";"0";"1"
"L_LightH_Script_Slave.int";"Diferen̤as para reviṣo";"8";"8";"6";"2";"0";"0";"0";"0";"2";"1";"1";"0";"1"
"L_OutsiderDream_P.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_OutsiderDream_Script.int";"Diferen̤as para reviṣo";"16";"16";"4";"12";"0";"0";"0";"0";"12";"11";"12";"0";"0"
"L_Ovrsr_Audio.int";"Diferen̤as para reviṣo";"41";"41";"36";"5";"0";"0";"0";"0";"5";"4";"1";"0";"0"
"L_Ovrsr_Back_Audio.int";"Diferen̤as para reviṣo";"14";"14";"13";"1";"0";"0";"0";"0";"1";"2";"2";"0";"0"
"L_Ovrsr_Back_Script.int";"Diferen̤as para reviṣo";"40";"40";"16";"24";"0";"0";"0";"0";"24";"13";"13";"0";"0"
"L_Ovrsr_Kennel_Audio.int";"Diferen̤as para reviṣo";"15";"15";"14";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0"
"L_Ovrsr_Kennel_Script.int";"Diferen̤as para reviṣo";"29";"29";"10";"19";"0";"0";"0";"0";"19";"11";"7";"0";"4"
"L_Ovrsr_ReturnPath.int";"Id̻ntico";"8";"8";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_Ovrsr_Script.int";"Diferen̤as para reviṣo";"87";"87";"43";"44";"0";"0";"0";"0";"44";"43";"43";"0";"0"
"L_Prison_Audio.int";"Diferen̤as para reviṣo";"18";"18";"14";"4";"0";"0";"0";"0";"4";"4";"0";"0";"0"
"L_Prison_P.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_Prison_Script.int";"Diferen̤as para reviṣo";"108";"108";"68";"40";"0";"0";"0";"0";"40";"51";"47";"1";"1"
"L_PrsnSewer_geo.int";"Id̻ntico";"8";"8";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_PrsnSewer_P.int";"Diferen̤as para reviṣo";"3";"3";"1";"2";"0";"0";"0";"0";"2";"1";"0";"0";"2"
"L_PrsnSewer_RatScene.int";"Id̻ntico";"4";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_PrsnSewer_Script.int";"Diferen̤as para reviṣo";"19";"19";"12";"7";"0";"0";"0";"0";"7";"7";"6";"0";"0"
"L_Pub_Assault_Env.int";"Diferen̤as para reviṣo";"3";"3";"2";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"L_Pub_Day_Audio.int";"Diferen̤as para reviṣo";"59";"59";"40";"19";"0";"0";"0";"0";"19";"19";"0";"0";"0"
"L_Pub_Day_Env.int";"Diferen̤as para reviṣo";"5";"5";"4";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"L_Pub_Dusk_Audio.int";"Diferen̤as para reviṣo";"59";"59";"40";"19";"0";"0";"0";"0";"19";"19";"0";"0";"0"
"L_Pub_Dusk_Env.int";"Diferen̤as para reviṣo";"5";"5";"4";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"L_Pub_Dusk_P.int";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"0"
"L_Pub_FromBoyle_Script.int";"Diferen̤as para reviṣo";"10";"10";"6";"4";"0";"0";"0";"0";"4";"3";"3";"0";"0"
"L_Pub_FromBridge_Script.int";"Diferen̤as para reviṣo";"7";"7";"1";"6";"0";"0";"0";"0";"6";"5";"3";"0";"2"
"L_Pub_FromBridge_Script_Sleep.int";"Diferen̤as para reviṣo";"6";"6";"5";"1";"0";"0";"0";"0";"1";"2";"2";"0";"0"
"L_Pub_FromBrothel_Script.int";"Diferen̤as para reviṣo";"7";"7";"3";"4";"0";"0";"0";"0";"4";"2";"1";"0";"0"
"L_Pub_FromFlooded_Script.int";"Diferen̤as para reviṣo";"67";"67";"33";"34";"0";"0";"0";"0";"34";"25";"7";"2";"19"
"L_Pub_FromOvrsr_Script.int";"Diferen̤as para reviṣo";"10";"10";"5";"5";"0";"0";"0";"0";"5";"3";"3";"0";"1"
"L_Pub_FromOvrsr_Script_Sleep.int";"Diferen̤as para reviṣo";"25";"25";"9";"16";"0";"0";"0";"0";"16";"17";"17";"0";"0"
"L_Pub_FromPrison_Script.int";"Diferen̤as para reviṣo";"35";"35";"15";"20";"0";"0";"0";"0";"20";"23";"23";"0";"1"
"L_Pub_FromPrison_Script_Sleep.int";"Diferen̤as para reviṣo";"7";"7";"4";"3";"0";"0";"0";"0";"3";"3";"3";"0";"0"
"L_Pub_FromTwrReturn_Script.int";"Diferen̤as para reviṣo";"7";"7";"5";"2";"0";"0";"0";"0";"2";"1";"0";"0";"2"
"L_Pub_Morning_Audio.int";"Diferen̤as para reviṣo";"50";"50";"34";"16";"0";"0";"0";"0";"16";"16";"0";"0";"0"
"L_Pub_Morning_Env.int";"Diferen̤as para reviṣo";"5";"5";"4";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"L_Pub_Morning_P.int";"Diferen̤as para reviṣo";"1";"1";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"L_Pub_Night_Audio.int";"Diferen̤as para reviṣo";"57";"57";"38";"19";"0";"0";"0";"0";"19";"19";"0";"0";"0"
"L_Pub_Night_Env.int";"Diferen̤as para reviṣo";"5";"5";"4";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"L_Streets1_Audio.int";"Diferen̤as para reviṣo";"5";"5";"4";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"L_Streets1_P.int";"Diferen̤as para reviṣo";"3";"3";"1";"2";"0";"0";"0";"0";"2";"0";"0";"0";"1"
"L_Streets1_Script.int";"Diferen̤as para reviṣo";"50";"50";"21";"29";"0";"0";"0";"0";"29";"28";"14";"0";"14"
"L_Streets2_Audio.int";"Diferen̤as para reviṣo";"3";"3";"2";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"L_Streets2_P.int";"Id̻ntico";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_Streets2_Script.int";"Diferen̤as para reviṣo";"51";"51";"21";"30";"0";"0";"0";"0";"30";"32";"10";"0";"21"
"L_Streetsewer_Audio.int";"Diferen̤as para reviṣo";"3";"3";"2";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"L_Streetsewer_P.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"L_Streetsewer_Script.int";"Diferen̤as para reviṣo";"55";"55";"28";"27";"0";"0";"0";"0";"27";"34";"24";"0";"3"
"L_Tower_Script.int";"Diferen̤as para reviṣo";"41";"41";"33";"8";"0";"0";"0";"0";"8";"17";"17";"1";"1"
"L_TowerRtrn_Int_Audio.int";"Diferen̤as para reviṣo";"74";"74";"64";"10";"0";"0";"0";"0";"10";"10";"0";"0";"0"
"L_TowerRtrn_Int_Script.int";"Diferen̤as para reviṣo";"49";"49";"20";"29";"0";"0";"0";"0";"29";"29";"22";"0";"4"
"L_TowerRtrn_Yard_Audio.int";"Diferen̤as para reviṣo";"21";"21";"16";"5";"0";"0";"0";"0";"5";"5";"0";"0";"0"
"L_TowerRtrn_Yard_P.int";"Id̻ntico";"2";"2";"2";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"L_TowerRtrn_Yard_Roof_Script.int";"Diferen̤as para reviṣo";"5";"5";"3";"2";"0";"0";"0";"0";"2";"2";"1";"0";"0"
"L_TowerRtrn_Yard_Script.int";"Diferen̤as para reviṣo";"18";"18";"6";"12";"0";"0";"0";"0";"12";"9";"1";"0";"5"
